上場年,証券番号,企業名,主幹事,備考
2010,3645,日本メディカルネットコミュニケーションズ,大和,
2010,6627,テラプローブ,野村,
2010,4578,大塚ホールディングス,野村,
2010,4927,ポーラ・オルビスホールディングス,野村,
2010,3644,1stホールディングス,大和,
2010,6050,イー・ガーディアン,野村,
2010,7818,トランザクション,野村,
2010,3165,フーマイスターエレクトロニクス,野村,
2010,7148,ＦＰＧ,野村,
2010,2198,アイ・ケイ・ケイ,野村,
2010,3163,トータル・メディカルサービス,大和,
2010,3640,電算,野村,
2010,3641,パピレス,野村,
2010,3639,ボルテージ,みずほ,
2010,3161,アゼアス,野村,
2010,8750,第一生命保険株式会社,野村,
2010,4577,ダイト,大和,
2010,8283,Ｐａｌｔａｃ,野村,
2010,7776,セルシード,野村,
2010,3160,大光,野村,
2010,2196,エスクリ,SBI,
2010,8715,アニコム　ホールディングス,野村,
2011,3169,ミサワ,インベ,
2011,3170,アイセイ薬局,大和,
2011,9206,スターフライヤー,大和,
2011,4583,カイオム・バイオサイエンス,大和,
2011,4977,新田ゼラチン,日興,
2011,6055,ジャパンマテリアル,東海東京,
2011,6056,キューアンドエー,みずほ,上場中止
2011,6619,ダブル・スコープ,日興,
2011,7156,日興アセットマネジメント,日興,上場中止
2011,3659,ネクソン,野村,
2011,3277,サンセイランディック,野村,
2011,6054,リブセンス,大和,
2011,1383,ベルグアース,野村,
2011,3658,イーブックイニシアティブジャパン,大和,
2011,3444,菊池製作所,野村,
2011,3657,ポールトゥウィン・ピットクルーホールディングス,大和,
2011,7777,スリー・ディー・マトリックス,日興,
2011,3276,日本管理センター,SMBC,
2011,4582,シンバイオ製薬,三菱,
2011,3656,ＫＬａｂ,大和,
2011,3655,ブレインパッド,野村,
2011,6052,イーピーミント,みずほ,
2011,3654,ヒト・コミュニケーションズ,野村,
2011,3653,モルフォ,野村,
2011,4579,ラクオリア創薬,大和,上場中止
2011,1909,日本ドライケミカル,大和,
2011,6626,ＳＥＭＩＴＥＣ,三菱,上場中止
2011,2882,イートアンド,みずほ,
2011,3652,ディジタルメディアプロフェッショナル,野村,
2011,3275,ハウスコム,大和,
2011,3168,クロタニコーポレーション,野村,
2011,6626,ＳＥＭＩＴＥＣ,三菱,
2011,5220,ＡｖａｎＳｔｒａｔｅ,大和,上場中止
2011,4579,ラクオリア創薬,大和,
2011,3649,ピーエスシー,野村,
2011,6051,アイ・アールジャパン,野村,
2011,7150,島根銀行,野村,
2011,3274,アイディホーム,三菱,
2011,3648,ＡＧＳ,みずほ,
2011,2229,カルビー,大和,
2011,3646,駅探,みずほ,
2012,3281,ＧＬＰ投資法人,野村,J-REIT
2012,3261,グランディーズ,HS,
2012,6072,地盤ネット,野村,
2012,3179,シュッピン,野村,
2012,6165,パンチ工業,大和,
2012,2931,ユーグレナ,日興,
2012,7164,全国保証,大和,
2012,3669,モバイルクリエイト,野村,
2012,3178,チムニー,野村,
2012,4929,アジュバンコスメジャパン,野村,
2012,3668,コロプラ,大和,
2012,4585,ＵＭＮファーマ,野村,
2012,3667,ｅｎｉｓｈ,大和,
2012,3666,テクノスジャパン,大和,
2012,6071,ＩＢＪ,SMBC,
2012,4584,ジーンテクノサイエンス,野村,
2012,3263,大和ハウスリート投資法人,野村,J-REIT
2012,3280,エストラスト,SBI,
2012,6070,キャリアリンク,野村,
2012,3177,ありがとうサービス,野村,
2012,3176,三洋貿易,三菱,
2012,3896,阿波製紙,大和,
2012,6069,トレンダーズ,大和,
2012,6464,ツバキ・ナカシマ,野村,上場中止
2012,9386,日本コンセプト,野村,
2012,6067,メディアフラッグ,SBI,
2012,3175,エー・ピーカンパニー,野村,
2012,9201,日本航空（JAL),大和,
2012,6065,サクセスホールディングス,野村,
2012,3665,エニグモ,大和,
2012,9419,ワイヤレスゲート,日興,
2012,6064,アクトコール,SBI,
2012,3664,モブキャスト,三菱,
2012,3174,ハピネス・アンド・ディ,インベ,
2012,6618,大泉製作所,SBI,
2012,6063,日本エマージェンシーアシスタンス,野村,
2012,3279,アクティビア・プロパティーズ投資法人,野村,J-REIT
2012,2930,北の達人コーポレーション,日本ア,
