no,security code,company name,lead manager,offering year,offering date,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year,industry,market
1,8715,アニコム　ホールディングス,野村,2010,303,2000,4000,100,1900,2000,984400,750000,106000,128400,2000,保険業,マザーズ
2,2196,エスクリ,SBI,2010,305,650,1001,100,550,650,800000,660000,140000,0,2003,サービス業,マザーズ
3,3160,大光,野村,2010,309,420,415,100,400,420,2070000,1200000,600000,270000,1950,卸売業,JASDAQ
4,7776,セルシード,野村,2010,316,1500,1400,100,1440,1500,2331200,1500000,527200,304000,2001,精密機器,NEO
5,8283,Ｐａｌｔａｃ,野村,2010,318,2200,2079,100,2100,2300,18400000,7000000,9000000,2400000,1928,卸売業,東証1部
6,4577,ダイト,大和,2010,324,1370,1390,100,1250,1370,2070000,1500000,300000,270000,1942,医薬品,東証2部
7,8750,第一生命保険株式会社,野村,2010,401,140000,160000,1,125000,155000,7206170,0,7106170,100000,1960,保険業,東証1部
8,3161,アゼアス,野村,2010,416,470,470,100,450,490,1725000,1000000,500000,225000,1947,卸売業,JASDAQ
9,3639,ボルテージ,みずほ,2010,611,2300,3500,100,2100,2300,483000,200000,220000,63000,1999,情報・通信,マザーズ
10,3641,パピレス,野村,2010,623,2700,6140,100,2500,2700,155400,80000,55400,20000,1995,情報・通信,JASDAQ
11,3640,電算,野村,2010,624,3500,3600,100,3200,3500,224000,190000,5000,29000,1966,情報・通信,東証2部
12,3163,トータル・メディカルサービス,大和,2010,624,4200,4200,100,3800,4200,138000,60000,60000,18000,1990,小売業,JASDAQ
13,2198,アイ・ケイ・ケイ,野村,2010,723,1320,1112,100,1220,1320,862500,400000,350000,112500,1995,サービス業,JASDAQ
14,7148,ＦＰＧ,野村,2010,907,3300,3300,100,3300,3950,259900,150000,76000,33900,2001,証券業,JASDAQ
15,3165,フーマイスターエレクトロニクス,野村,2010,915,1000,970,100,1000,1300,609500,320000,210000,79500,2051,卸売業,JASDAQ
16,7818,トランザクション,野村,2010,1012,1400,1295,100,1300,1700,402500,270000,80000,52500,1987,その他製品,JASDAQスタンダード
17,6050,イー・ガーディアン,野村,2010,1201,1300,3000,100,1200,1300,414000,250000,110000,54000,1998,サービス業,マザーズ
18,3644,1stホールディングス,大和,2010,1201,630,570,100,630,700,10000000,0,8695900,1304100,1972,情報・通信,JASDAQスタンダード
19,4927,ポーラ・オルビスホールディングス,野村,2010,1210,1800,1693,100,1600,1800,20200000,4000000,13600000,2600000,2006,化学,東証1部
20,4578,大塚ホールディングス,野村,2010,1215,2100,2170,100,2000,2400,94500000,80000000,10000000,4500000,2008,医薬品,東証1部
21,6627,テラプローブ,野村,2010,1216,3000,2775,100,3000,3350,3680000,1600000,1600000,480000,2005,電気機器,マザーズ
22,3645,日本メディカルネットコミュニケーションズ,大和,2010,1221,840,1750,100,740,840,1380000,600000,600000,180000,1954,情報・通信,マザーズ
23,3646,駅探,みずほ,2011,303,2780,5530,100,2480,2780,235700,120000,85000,30700,2003,情報・通信,マザーズ
24,2229,カルビー,大和,2011,311,2100,2100,100,2040,2100,5268300,2823000,1845300,600000,1949,食料品,東証1部
25,3648,ＡＧＳ,みずほ,2011,311,950,890,100,800,950,1090000,900000,50000,140000,1971,情報・通信,東証2部
26,3274,アイディホーム,三菱,2011,315,2850,1800,100,2700,2850,920000,465000,335000,120000,1995,不動産業,JASDAQスタンダード
27,7150,島根銀行,野村,2011,315,560,685,100,540,560,920000,800000,0,120000,1915,銀行,東証2部
28,6051,アイ・アールジャパン,野村,2011,318,1800,1890,100,1600,1800,437000,190000,190000,57000,2007,サービス業,JASDAQスタンダード
29,3649,ピーエスシー,野村,2011,323,1000,1020,100,800,1000,759000,300000,459000,99000,1985,情報・通信,JASDAQスタンダード
30,3168,クロタニコーポレーション,野村,2011,609,1200,1170,100,1100,1200,2382800,972000,1100000,310800,1985,卸売業,東証2部
31,3275,ハウスコム,大和,2011,623,600,580,100,540,600,805000,700000,0,105000,1998,不動産業,JASDAQスタンダード
32,3652,ディジタルメディアプロフェッショナル,野村,2011,623,2400,3050,100,2100,2400,862600,300000,450100,112500,2002,情報・通信,マザーズ
33,2882,イートアンド,みずほ,2011,624,2860,2631,100,2560,2860,345000,200000,100000,45000,1977,食料品,JASDAQスタンダード
34,6626,ＳＥＭＩＴＥＣ,三菱,2011,629,1250,1210,100,1050,1250,402500,300000,50000,52500,1958,電気機器,JASDAQスタンダード
34,6626,ＳＥＭＩＴＥＣ,三菱,2011,629,1250,1210,100,1050,1250,402500,300000,50000,52500,1958,電気機器,JASDAQスタンダード
35,1909,日本ドライケミカル,大和,2011,629,2040,2222,100,1640,2040,368000,75000,245000,48000,1955,機械,東証2部
36,4579,ラクオリア創薬,大和,2011,720,1600,1480,100,1550,1600,4600000,4000000,600000,600000,2008,医薬品,JASDAQグロース
36,4579,ラクオリア創薬,大和,2011,720,1600,1480,100,1550,1600,4600000,4000000,600000,600000,2008,医薬品,JASDAQグロース
37,3653,モルフォ,野村,2011,721,2250,4840,100,2050,2250,385400,240000,95400,50000,2004,情報・通信,マザーズ
