no,offer date,security code,offer price,opening price,fileprice min,fileprice max,industry,founding year,trading unit,total offering,primary offering,secondary offering,over allotment,OTC dummy,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy
1,20100303,8715,2000,4000,1900,2000,30,2000,100,984400,750000,106000,128400,0,1,1,0,0,0,0
2,20100305,2196,650,1001,550,650,33,2003,100,800000,660000,140000,0,0,1,0,0,0,0,1
3,20100309,3160,420,415,400,420,26,1950,100,2070000,1200000,600000,270000,0,1,1,0,0,0,0
4,20100316,7776,1500,1400,1440,1500,18,2001,100,2331200,1500000,527200,304000,0,1,1,0,0,0,0
5,20100318,8283,2200,2079,2100,2300,26,1928,100,18400000,7000000,9000000,2400000,0,0,1,0,0,0,0
6,20100324,4577,1370,1390,1250,1370,8,1942,100,2070000,1500000,300000,270000,0,0,0,1,0,0,0
7,20100401,8750,140000,160000,125000,155000,30,1960,1,7206170,0,7106170,100000,0,0,1,0,0,0,0
8,20100416,3161,470,470,450,490,26,1947,100,1725000,1000000,500000,225000,0,1,1,0,0,0,0
9,20100611,3639,2300,3500,2100,2300,25,1999,100,483000,200000,220000,63000,0,1,0,0,0,1,0
10,20100623,3641,2700,6140,2500,2700,25,1995,100,155400,80000,55400,20000,0,1,1,0,0,0,0
11,20100624,3640,3500,3600,3200,3500,25,1966,100,224000,190000,5000,29000,0,0,1,0,0,0,0
12,20100624,3163,4200,4200,3800,4200,27,1990,100,138000,60000,60000,18000,0,1,0,1,0,0,0
13,20100723,2198,1320,1112,1220,1320,33,1995,100,862500,400000,350000,112500,0,1,1,0,0,0,0
14,20100907,7148,3300,3300,3300,3950,29,2001,100,259900,150000,76000,33900,0,1,1,0,0,0,0
15,20100915,3165,1000,970,1000,1300,26,2051,100,609500,320000,210000,79500,0,1,1,0,0,0,0
16,20101012,7818,1400,1295,1300,1700,19,1987,100,402500,270000,80000,52500,0,1,1,0,0,0,0
17,20101201,6050,1300,3000,1200,1300,33,1998,100,414000,250000,110000,54000,0,1,1,0,0,0,0
18,20101201,3644,630,570,630,700,25,1972,100,10000000,0,8695900,1304100,0,1,0,1,0,0,0
19,20101210,4927,1800,1693,1600,1800,7,2006,100,20200000,4000000,13600000,2600000,0,0,1,0,0,0,0
20,20101215,4578,2100,2170,2000,2400,8,2008,100,94500000,80000000,10000000,4500000,0,0,1,0,0,0,0
21,20101216,6627,3000,2775,3000,3350,16,2005,100,3680000,1600000,1600000,480000,0,1,1,0,0,0,0
22,20101221,3645,840,1750,740,840,25,1954,100,1380000,600000,600000,180000,0,1,0,1,0,0,0
23,20110303,3646,2780,5530,2480,2780,25,2003,100,235700,120000,85000,30700,0,1,0,0,0,1,0
24,20110311,2229,2100,2100,2040,2100,4,1949,100,5268300,2823000,1845300,600000,0,0,0,1,0,0,0
25,20110311,3648,950,890,800,950,25,1971,100,1090000,900000,50000,140000,0,0,0,0,0,1,0
26,20110315,3274,2850,1800,2700,2850,32,1995,100,920000,465000,335000,120000,0,1,0,0,0,0,0
27,20110315,7150,560,685,540,560,28,1915,100,920000,800000,0,120000,0,0,1,0,0,0,0
28,20110318,6051,1800,1890,1600,1800,33,2007,100,437000,190000,190000,57000,0,1,1,0,0,0,0
29,20110323,3649,1000,1020,800,1000,25,1985,100,759000,300000,459000,99000,0,1,1,0,0,0,0
30,20110609,3168,1200,1170,1100,1200,26,1985,100,2382800,972000,1100000,310800,0,0,1,0,0,0,0
31,20110623,3275,600,580,540,600,32,1998,100,805000,700000,0,105000,0,1,0,1,0,0,0
32,20110623,3652,2400,3050,2100,2400,25,2002,100,862600,300000,450100,112500,0,1,1,0,0,0,0
33,20110624,2882,2860,2631,2560,2860,4,1977,100,345000,200000,100000,45000,0,1,0,0,0,1,0
34,20110629,6626,1250,1210,1050,1250,16,1958,100,402500,300000,50000,52500,0,1,0,0,0,0,0
34,20110629,6626,1250,1210,1050,1250,16,1958,100,402500,300000,50000,52500,0,1,0,0,0,0,0
35,20110629,1909,2040,2222,1640,2040,15,1955,100,368000,75000,245000,48000,0,0,0,1,0,0,0
36,20110720,4579,1600,1480,1550,1600,8,2008,100,4600000,4000000,600000,600000,0,1,0,1,0,0,0
36,20110720,4579,1600,1480,1550,1600,8,2008,100,4600000,4000000,600000,600000,0,1,0,1,0,0,0
37,20110721,3653,2250,4840,2050,2250,25,2004,100,385400,240000,95400,50000,0,1,1,0,0,0,0
38,20110812,3654,2700,2780,2600,2700,25,1998,100,747500,350000,300000,97500,0,1,1,0,0,0,0
39,20110916,6052,1500,1700,1400,1500,33,1999,100,287500,220000,30000,37500,0,1,0,0,0,1,0
40,20110922,3655,2200,6350,2100,2200,25,2008,100,310500,190000,80000,40500,0,1,1,0,0,0,0
41,20110927,3656,1700,3970,1540,1700,25,2000,100,922500,229700,572500,120300,0,1,0,1,0,0,0
42,20111020,4582,560,450,460,560,8,2005,100,5865000,5100000,0,765000,0,1,0,0,0,0,0
43,20111021,3276,1600,1600,1400,1600,32,2002,100,224000,35000,160000,29000,0,1,0,0,0,0,0
44,20111024,7777,2100,1200,1900,2100,18,2004,100,2048400,700000,1148400,200000,0,1,0,0,1,0,0
45,20111026,3657,2250,2730,2000,2250,25,2009,100,1472000,640000,640000,192000,0,1,0,1,0,0,0
46,20111028,3444,1100,1150,1050,1100,14,1976,100,805000,300000,400000,105000,0,1,1,0,0,0,0
47,20111028,3658,760,1700,700,760,25,2000,100,230000,200000,0,30000,0,1,0,1,0,0,0
48,20111129,1383,740,780,740,940,1,2001,100,488000,250000,174400,63600,0,1,1,0,0,0,0
49,20111207,6054,990,1800,900,990,33,2006,100,753200,450000,205000,98200,0,1,0,1,0,0,0
50,20111213,3277,500,470,500,600,32,1976,100,1897500,900000,750000,247500,0,1,1,0,0,0,0
51,20111214,3659,1300,1307,1200,1400,25,2002,100,75357500,70000000,100000,5257500,0,0,1,0,0,0,0
52,20111216,6619,2500,2300,2500,2800,16,2005,100,2813000,1503100,943000,366900,0,1,0,0,1,0,0
53,20111219,6055,2650,2440,2500,2800,33,1997,100,669400,270000,312100,87300,0,0,0,0,0,0,0
54,20111220,4977,500,462,500,570,7,1945,100,4170000,3000000,628000,542000,0,0,0,0,1,0,0
55,20111220,4583,2700,2480,2100,2700,8,2005,100,893500,188000,589000,116500,0,1,0,1,0,0,0
56,20111221,9206,3180,5500,2900,3180,22,2002,100,230000,140000,60000,30000,0,0,0,1,0,0,0
57,20111222,3170,3460,3460,3300,3460,27,2000,100,286300,249000,0,37300,0,1,0,1,0,0,0
58,20111222,3169,860,1209,760,860,27,1959,100,690000,380000,220000,90000,0,1,0,0,0,0,0
59,20120222,3171,1250,1300,1000,1250,27,2002,100,1150000,1000000,0,150000,0,1,1,0,0,0,0
60,20120306,3172,510,556,480,530,27,1983,100,1437500,750000,500000,187500,0,1,1,0,0,0,0
61,20120308,3660,840,1630,760,840,25,1999,100,1084500,450000,525500,109000,0,1,0,0,0,1,0
62,20120309,3173,700,685,700,720,26,1950,100,1058000,800000,120000,138000,0,1,1,0,0,0,0
63,20120314,3661,1130,1987,1050,1130,25,2004,100,487900,176500,247800,63600,0,1,0,1,0,0,0
64,20120315,7157,1000,930,1000,1200,30,2006,100,12373000,8340000,2433000,1600000,0,1,1,0,0,0,0
65,20120327,6058,1000,1160,940,1000,33,1993,100,780000,500000,250000,30000,0,1,0,0,0,0,1
66,20120404,3662,1080,2923,1000,1080,25,2000,100,350700,300000,5000,45700,0,1,0,1,0,0,0
67,20120420,6059,1480,1421,1360,1480,33,2006,100,1380000,900000,300000,180000,0,1,0,1,0,0,0
68,20120425,6060,945,1050,900,945,33,1966,100,862500,562500,187500,112500,0,1,0,1,0,0,0
69,20120426,6061,1310,1455,1250,1310,33,1974,100,437000,200000,180000,57000,0,1,0,1,0,0,0
70,20120427,6062,950,1000,900,950,33,1984,100,690000,300000,300000,90000,0,1,0,1,0,0,0
71,20120529,2930,1100,935,920,1150,4,2002,100,202500,50000,152500,0,0,1,0,0,0,0,0
72,20120620,6063,1100,1400,1100,1200,33,2003,100,394600,100000,243200,51400,0,1,1,0,0,0,0
73,20120622,6618,350,400,290,350,16,1944,100,522000,300000,222000,0,0,1,0,0,0,0,1
74,20120622,3174,1900,2202,1750,1900,27,1990,100,345000,300000,0,45000,0,1,0,0,0,0,0
75,20120626,3664,800,2301,640,800,25,2004,100,768500,350000,338500,80000,0,1,0,0,0,0,0
76,20120713,6064,1700,2500,1600,1700,33,2005,100,282700,90000,160700,32000,0,1,0,0,0,0,1
77,20120719,9419,1200,2311,1150,1200,25,2004,100,521400,300000,153400,68000,0,1,0,0,1,0,0
78,20120724,3665,1750,4030,1550,1750,25,2004,100,198300,120000,52500,25800,0,1,0,1,0,0,0
79,20120807,6065,2050,2500,1950,2050,33,2010,100,437000,140000,240000,57000,0,1,1,0,0,0,0
80,20120919,9201,3790,3810,3500,3790,22,1953,100,175000000,0,175000000,0,0,0,0,1,0,0,0
81,20120925,3175,2350,3305,2150,2350,27,2001,100,626700,350000,195000,81700,0,1,1,0,0,0,0
82,20120928,6067,900,2120,800,900,33,2004,100,207000,50000,130000,27000,0,1,0,0,0,0,1
83,20121004,9386,1020,938,1020,1140,24,1994,100,1404100,450000,771000,183100,0,1,1,0,0,0,0
84,20121019,6069,2550,6500,2300,2550,33,2000,100,310500,270000,0,40500,0,1,0,1,0,0,0
85,20121023,3896,370,371,330,370,6,1943,100,2875000,1900000,600000,375000,0,0,0,1,0,0,0
86,20121023,3176,460,444,420,460,26,1947,100,3289000,2600000,260000,429000,0,0,0,0,0,0,0
87,20121112,3177,1170,1302,1170,1340,27,2000,100,368000,70000,250000,48000,0,1,1,0,0,0,0
88,20121115,6070,420,846,400,440,33,1996,100,1587000,600000,780000,207000,0,1,1,0,0,0,0
89,20121121,3280,1350,2513,1250,1350,32,1999,100,383800,250000,83800,50000,0,1,0,0,0,0,1
90,20121130,4584,1200,1550,1200,1500,8,2001,100,999900,580000,289900,130000,0,1,1,0,0,0,0
91,20121206,6071,1450,2610,1250,1450,33,2006,100,276000,140000,136000,0,0,1,0,0,0,0,0
92,20121207,3666,1540,1878,1380,1540,25,1994,100,632500,300000,250000,82500,0,1,0,1,0,0,0
93,20121211,3667,800,2500,760,800,25,2009,100,1249000,50000,1040000,159000,0,1,0,1,0,0,0
94,20121211,4585,1300,1196,1300,1600,8,2004,100,3277500,2150000,700000,427500,0,1,1,0,0,0,0
95,20121213,3668,3000,5650,2700,3000,25,2008,100,1452000,780000,540000,132000,0,1,0,1,0,0,0
96,20121213,4929,1250,1310,1250,1350,7,1990,100,1150000,750000,250000,150000,0,0,1,0,0,0,0
97,20121214,3178,1000,945,1000,1050,27,2009,100,10222000,1000000,7900000,1322000,0,0,1,0,0,0,0
98,20121219,3669,3000,7000,2700,3000,25,2002,100,261000,106800,120200,34000,0,1,1,0,0,0,0
