番号,英語,日本語
1,Fishery and Forestry,水産・農林業
2,Mining,鉱業
3,Construction,建設業
4,Food Products,食料品
5,Textiles,繊維製品
6,Pulp & Paper,パルプ・紙
7,Chemicals,化学
8,Pharmaceuticals,医薬品
9,Oil & Petrochemicals Products,石油・石炭製品
10,Rubber,ゴム製品
11,Glass & Ceramics,ガラス・土石製品
12,Iron & Steel,鉄鋼
13,Non-ferrous Metals,非鉄金属
14,Metal Products,金属製品
15,General Machinery,機械
16,Electrical Equipment,電気機器
17,Transportation Equipment,輸送用機器
18,Precision Equipment,精密機器
19,Other Products,その他製品
20,Electricity & Gas,電気・ガス業
21,Land Transportation,陸運業
22,Air Transportation,空運業
23,Marine Transportation,海運業
24,Warehousing & Distribution,倉庫・運輸関連
25,Communications,情報・通信業
26,Wholesale,卸売業
27,Retail,小売業
28,Banking,銀行業
29,Securities & Commodities Trading,証券・商品先物取引業 
30,Insurance,保険業
31,Other Financial Services,その他金融業
32,Real Estate,不動産業
33,Service,サービス業
