security code,offering date,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year,industry,market
6627,12月16日,3000,2775,100,3000,3350,3680000,1600000,1600000,480000,2005,,マザーズ
4578,12月15日,2100,2170,100,2000,2400,94500000,80000000,10000000,4500000,2008,,東証1部
4927,12月10日,1800,1693,100,1600,1800,20200000,4000000,13600000,2600000,2006,,東証1部
3644,12月1日,630,570,100,630,700,10000000,0,8695900,1304100,1972,,JASDAQスタンダード
6050,12月1日,1300,3000,100,1200,1300,414000,250000,110000,54000,1998,,マザーズ
7818,10月12日,1400,1295,100,1300,1700,402500,270000,80000,52500,1987,,JASDAQスタンダード
3165,9月15日,1000,970,100,1000,1300,609500,320000,210000,79500,2051,,JASDAQ
7148,9月7日,3300,3300,100,3300,3950,259900,150000,76000,33900,2001,,JASDAQ
2198,7月23日,1320,1112,100,1220,1320,862500,400000,350000,112500,1995,,JASDAQ
3163,6月24日,4200,4200,100,3800,4200,138000,60000,60000,18000,1990,,JASDAQ
3640,6月24日,3500,3600,100,3200,3500,224000,190000,5000,29000,1966,,東証2部
3641,6月23日,2700,6140,100,2500,2700,155400,80000,55400,20000,1995,,JASDAQ
3639,6月11日,2300,3500,100,2100,2300,483000,200000,220000,63000,1999,,マザーズ
3161,4月16日,470,470,100,450,490,1725000,1000000,500000,225000,1947,,JASDAQ
8750,4月1日,140000,160000,1,125000,155000,7206170,0,7106170,100000,1960,,東証1部
4577,3月24日,1370,1390,100,1250,1370,2070000,1500000,300000,270000,1942,,東証2部
8283,3月18日,2200,2079,100,2100,2300,18400000,7000000,9000000,2400000,1928,,東証1部
7776,3月16日,1500,1400,100,1440,1500,2331200,1500000,527200,304000,2001,,NEO
3160,3月9日,420,415,100,400,420,2070000,1200000,600000,270000,1950,,JASDAQ
2196,3月5日,650,1001,100,550,650,800000,660000,140000,0,2003,,マザーズ
8715,3月3日,2000,4000,100,1900,2000,984400,750000,106000,128400,2000,,マザーズ
3169,12月22日,860,1209,100,760,860,690000,380000,220000,90000,1959,,マザーズ
3170,12月22日,3460,3460,100,3300,3460,286300,249000,0,37300,2000,,JASDAQスタンダード
9206,12月21日,3180,5500,100,2900,3180,230000,140000,60000,30000,2002,,東証2部
4583,12月20日,2700,2480,100,2100,2700,893500,188000,589000,116500,2005,,マザーズ
4977,12月20日,500,462,100,500,570,4170000,3000000,628000,542000,1945,,東証2部
6055,12月19日,2650,2440,100,2500,2800,669400,270000,312100,87300,1997,,東証2部
6619,12月16日,2500,2300,100,2500,2800,2813000,1503100,943000,366900,2005,,マザーズ
3659,12月14日,1300,1307,100,1200,1400,75357500,70000000,100000,5257500,2002,,東証1部
3277,12月13日,500,470,100,500,600,1897500,900000,750000,247500,1976,,JASDAQスタンダード
6054,12月7日,990,1800,100,900,990,753200,450000,205000,98200,2006,,マザーズ
1383,11月29日,740,780,100,740,940,488000,250000,174400,63600,2001,,JASDAQスタンダード
3658,10月28日,760,1700,100,700,760,230000,200000,0,30000,2000,,マザーズ
3444,10月28日,1100,1150,100,1050,1100,805000,300000,400000,105000,1976,,JASDAQスタンダード
3657,10月26日,2250,2730,100,2000,2250,1472000,640000,640000,192000,2009,,マザーズ
7777,10月24日,2100,1200,100,1900,2100,2048400,700000,1148400,200000,2004,,JASDAQグロース
3276,10月21日,1600,1600,100,1400,1600,224000,35000,160000,29000,2002,,JASDAQスタンダード
4582,10月20日,560,450,100,460,560,5865000,5100000,0,765000,2005,,JASDAQグロース
3656,9月27日,1700,3970,100,1540,1700,922500,229700,572500,120300,2000,,マザーズ
6052,9月16日,1500,1700,100,1400,1500,287500,220000,30000,37500,1999,,JASDAQスタンダード
3654,8月12日,2700,2780,100,2600,2700,747500,350000,300000,97500,1998,,JASDAQスタンダード
3653,7月21日,2250,4840,100,2050,2250,385400,240000,95400,50000,2004,,マザーズ
4579,7月20日,1600,1480,100,1550,1600,4600000,4000000,600000,600000,2008,,JASDAQグロース
1909,6月29日,2040,2222,100,1640,2040,368000,75000,245000,48000,1955,,東証2部
6626,6月29日,1250,1210,100,1050,1250,402500,300000,50000,52500,1958,,JASDAQスタンダード
2882,6月24日,2860,2631,100,2560,2860,345000,200000,100000,45000,1977,,JASDAQスタンダード
3652,6月23日,2400,3050,100,2100,2400,862600,300000,450100,112500,2002,,マザーズ
3275,6月23日,600,580,100,540,600,805000,700000,0,105000,1998,,JASDAQスタンダード
3168,6月9日,1200,1170,100,1100,1200,2382800,972000,1100000,310800,1985,,東証2部
6626,6月29日,1250,1210,100,1050,1250,402500,300000,50000,52500,1958,,JASDAQスタンダード
4579,7月20日,1600,1480,100,1550,1600,4600000,4000000,600000,600000,2008,,JASDAQグロース
3649,3月23日,1000,1020,100,800,1000,759000,300000,459000,99000,1985,,JASDAQスタンダード
6051,3月18日,1800,1890,100,1600,1800,437000,190000,190000,57000,2007,,JASDAQスタンダード
3274,3月15日,2850,1800,100,2700,2850,920000,465000,335000,120000,1995,,JASDAQスタンダード
3648,3月11日,950,890,100,800,950,1090000,900000,50000,140000,1971,,東証2部
2229,3月11日,2100,2100,100,2040,2100,5268300,2823000,1845300,600000,1949,,東証1部
3646,3月3日,2780,5530,100,2480,2780,235700,120000,85000,30700,2003,,マザーズ
3261,12月21日,360,368,100,340,360,250000,250000,0,0,2006,,福証Qボード
6072,12月21日,720,1412,100,700,720,901000,384000,400000,117000,2008,,マザーズ
3179,12月20日,330,550,100,310,330,1092500,750000,200000,142500,2005,,マザーズ
6165,12月20日,560,530,100,510,560,2185000,1300000,600000,285000,1975,,東証2部
2931,12月20日,1700,3900,100,1580,1700,630500,500000,50500,80000,2005,,マザーズ
7164,12月19日,980,1016,100,930,980,10910900,7350000,2137800,1423100,1981,,東証1部
3669,12月19日,3000,7000,100,2700,3000,261000,106800,120200,34000,2002,,マザーズ
3178,12月14日,1000,945,100,1000,1050,10222000,1000000,7900000,1322000,2009,,東証2部
4929,12月13日,1250,1310,100,1250,1350,1150000,750000,250000,150000,1990,,東証2部
3668,12月13日,3000,5650,100,2700,3000,1452000,780000,540000,132000,2008,,マザーズ
4585,12月11日,1300,1196,100,1300,1600,3277500,2150000,700000,427500,2004,,マザーズ
3667,12月11日,800,2500,100,760,800,1249000,50000,1040000,159000,2009,,マザーズ
3666,12月7日,1540,1878,100,1380,1540,632500,300000,250000,82500,1994,,JASDAQスタンダード
6071,12月6日,1450,2610,100,1250,1450,276000,140000,136000,0,2006,,JASDAQスタンダード
4584,11月30日,1200,1550,100,1200,1500,999900,580000,289900,130000,2001,,マザーズ
3280,11月21日,1350,2513,100,1250,1350,383800,250000,83800,50000,1999,,マザーズ
6070,11月15日,420,846,100,400,440,1587000,600000,780000,207000,1996,,マザーズ
3177,11月12日,1170,1302,100,1170,1340,368000,70000,250000,48000,2000,,JASDAQスタンダード
3176,10月23日,460,444,100,420,460,3289000,2600000,260000,429000,1947,,東証2部
3896,10月23日,370,371,100,330,370,2875000,1900000,600000,375000,1943,,東証2部
6069,10月19日,2550,6500,100,2300,2550,310500,270000,0,40500,2000,,マザーズ
9386,10月4日,1020,938,100,1020,1140,1404100,450000,771000,183100,1994,,JASDAQスタンダード
6067,9月28日,900,2120,100,800,900,207000,50000,130000,27000,2004,,マザーズ
3175,9月25日,2350,3305,100,2150,2350,626700,350000,195000,81700,2001,,マザーズ
9201,9月19日,3790,3810,100,3500,3790,175000000,0,175000000,0,1953,,東証1部
6065,8月7日,2050,2500,100,1950,2050,437000,140000,240000,57000,2010,,JASDAQスタンダード
3665,7月24日,1750,4030,100,1550,1750,198300,120000,52500,25800,2004,,マザーズ
9419,7月19日,1200,2311,100,1150,1200,521400,300000,153400,68000,2004,,マザーズ
6064,7月13日,1700,2500,100,1600,1700,282700,90000,160700,32000,2005,,マザーズ
3664,6月26日,800,2301,100,640,800,768500,350000,338500,80000,2004,,マザーズ
3174,6月22日,1900,2202,100,1750,1900,345000,300000,0,45000,1990,,JASDAQスタンダード
6618,6月22日,350,400,100,290,350,522000,300000,222000,0,1944,,マザーズ
6063,6月20日,1100,1400,100,1100,1200,394600,100000,243200,51400,2003,,JASDAQスタンダード
2930,5月29日,1100,935,100,920,1150,202500,50000,152500,0,2002,,札証アンビシャス
6062,4月27日,950,1000,100,900,950,690000,300000,300000,90000,1984,,JASDAQスタンダード
6061,4月26日,1310,1455,100,1250,1310,437000,200000,180000,57000,1974,,JASDAQスタンダード
6060,4月25日,945,1050,100,900,945,862500,562500,187500,112500,1966,,JASDAQスタンダード
6059,4月20日,1480,1421,100,1360,1480,1380000,900000,300000,180000,2006,,JASDAQスタンダード
3662,4月4日,1080,2923,100,1000,1080,350700,300000,5000,45700,2000,,マザーズ
6058,3月27日,1000,1160,100,940,1000,780000,500000,250000,30000,1993,,マザーズ
7157,3月15日,1000,930,100,1000,1200,12373000,8340000,2433000,1600000,2006,,マザーズ
3661,3月14日,1130,1987,100,1050,1130,487900,176500,247800,63600,2004,,マザーズ
3173,3月9日,700,685,100,700,720,1058000,800000,120000,138000,1950,,JASDAQスタンダード
3660,3月8日,840,1630,100,760,840,1084500,450000,525500,109000,1999,,マザーズ
3172,3月6日,510,556,100,480,530,1437500,750000,500000,187500,1983,,JASDAQスタンダード
3171,2月22日,1250,1300,100,1000,1250,1150000,1000000,0,150000,2002,,JASDAQスタンダード
6090,12月24日,1400,3100,100,1300,1400,1571500,850000,571500,150000,2003,,マザーズ
6086,12月19日,950,2235,100,910,950,402500,200000,150000,52500,1985,,マザーズ
7167,12月19日,420,451,100,400,420,63250000,55000000,0,8250000,2008,,東証1部
4245,12月19日,1300,1351,100,1200,1300,805000,500000,200000,105000,2005,,東証2部
6089,12月19日,2870,2750,100,2770,2870,849000,333200,405100,110700,2006,,東証2部
6085,12月18日,2050,4600,100,1850,2050,345000,250000,50000,45000,2007,,マザーズ
6087,12月18日,3450,3450,100,3250,3450,603000,450000,74400,78600,2006,,JASDAQスタンダード
3294,12月18日,3300,4200,100,3030,3300,402500,250000,100000,52500,1989,,JASDAQスタンダード
6088,12月18日,3010,3020,100,2830,3010,1827300,211700,1377300,238300,2008,,マザーズ
3293,12月17日,1600,1760,100,1500,1600,1293700,550000,575000,168700,1977,,JASDAQスタンダード
1429,12月13日,1650,2061,100,1480,1650,1805500,1570000,0,235500,2004,,マザーズ
6084,12月11日,3500,8050,100,3300,3500,160200,130000,10200,20000,2003,,マザーズ
3682,12月11日,1730,3775,100,1550,1730,744700,330000,317600,97100,2002,,マザーズ
3681,12月10日,3300,5010,100,3000,3300,1342800,600000,567700,175100,2000,,マザーズ
3680,12月9日,2700,7170,100,2570,2700,539100,188800,280000,70300,2000,,マザーズ
4588,12月6日,2600,3500,100,2420,2600,2553000,1820000,400000,333000,2004,,マザーズ
6082,12月3日,2000,3105,100,1790,2000,1196000,250000,790000,156000,2001,,マザーズ
6081,11月29日,1700,5600,100,1500,1700,761800,400000,262500,99300,2005,,マザーズ
3679,11月22日,600,1750,100,500,600,9832500,1000000,7550000,1282500,2006,,マザーズ
3678,11月20日,3300,11770,100,3000,3300,391000,270000,70000,51000,1999,,マザーズ
6080,11月20日,3000,10000,100,2800,3000,172500,150000,0,22500,2005,,マザーズ
3189,11月19日,1000,5100,100,960,1000,540500,320000,150000,70500,1992,,JASDAQスタンダード
3677,10月22日,740,3500,100,700,740,690000,400000,200000,90000,1980,,JASDAQスタンダード
6079,10月8日,280,717,100,240,280,8930000,4170000,3600000,1160000,2008,,マザーズ
6078,10月4日,2000,4035,100,1800,2000,414000,245000,115000,54000,2001,,JASDAQスタンダード
5698,9月25日,700,1040,100,630,700,1863000,1620000,0,243000,2010,,東証2部
3288,9月20日,1780,2100,100,1580,1780,8375000,5400000,2975000,400000,1996,,東証1部
3187,9月13日,950,3500,100,870,950,437000,380000,0,57000,1979,,マザーズ
6077,8月29日,1500,3100,100,1300,1500,471500,355000,55000,61500,2003,,マザーズ
6076,8月13日,730,797,100,700,730,1414500,1230000,0,184500,1924,,福証
3186,7月30日,1700,2011,100,1500,1700,824500,637000,80000,107500,1998,,マザーズ
6075,7月10日,1670,3775,100,1470,1670,230000,100000,100000,30000,2002,,マザーズ
2587,7月3日,3100,3120,100,3000,3800,125200000,93000000,26000000,6200000,2009,,東証1部
3184,6月27日,1900,3000,100,1800,1900,410000,297000,60000,53000,2009,,JASDAQスタンダード
6074,6月27日,950,1200,100,850,950,575000,300000,200000,75000,1976,,JASDAQスタンダード
4978,6月26日,3200,17800,100,2830,3200,1491200,642000,654700,194500,2003,,JASDAQグロース
6248,6月13日,720,1702,100,700,720,563700,250200,240000,73500,1953,,JASDAQスタンダード
4587,6月11日,2500,7900,100,1920,2500,3105000,1660000,1040000,405000,2006,,マザーズ
3674,4月25日,2600,10480,100,2280,2600,368000,242000,78000,48000,2007,,マザーズ
1420,4月9日,700,1250,100,600,700,2070000,1800000,0,270000,1996,,東証2部
1419,3月27日,980,1700,100,870,980,9244800,6500000,1539000,1205800,1998,,東証1部
3673,3月22日,1080,1200,100,1040,1080,21593000,2300000,16480000,2813000,2009,,東証1部
6073,3月19日,930,1034,100,900,930,2990000,1000000,1600000,390000,1973,,東証2部
7215,3月19日,3940,4150,100,3750,3940,1007500,347500,560000,100000,2004,,東証2部
