no,Offer Date,security code,industry,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy,offering price,opening price,trading unit,fileprice min,fileprice max,total offering,primary offering,secondary offering,over allotment,founding year
1,20100303,8715,30,1,1,0,0,0,0,2000,4000,100,1900,2000,984400,750000,106000,128400,2000
2,20100305,2196,33,1,0,0,0,0,1,650,1001,100,550,650,800000,660000,140000,0,2003
3,20100309,3160,26,1,1,0,0,0,0,420,415,100,400,420,2070000,1200000,600000,270000,1950
4,20100316,7776,18,1,1,0,0,0,0,1500,1400,100,1440,1500,2331200,1500000,527200,304000,2001
5,20100318,8283,26,0,1,0,0,0,0,2200,2079,100,2100,2300,18400000,7000000,9000000,2400000,1928
6,20100324,4577,8,0,0,1,0,0,0,1370,1390,100,1250,1370,2070000,1500000,300000,270000,1942
7,20100401,8750,30,0,1,0,0,0,0,140000,160000,1,125000,155000,7206170,0,7106170,100000,1960
8,20100416,3161,26,1,1,0,0,0,0,470,470,100,450,490,1725000,1000000,500000,225000,1947
9,20100611,3639,25,1,0,0,0,1,0,2300,3500,100,2100,2300,483000,200000,220000,63000,1999
10,20100623,3641,25,1,1,0,0,0,0,2700,6140,100,2500,2700,155400,80000,55400,20000,1995
11,20100624,3640,25,0,1,0,0,0,0,3500,3600,100,3200,3500,224000,190000,5000,29000,1966
12,20100624,3163,27,1,0,1,0,0,0,4200,4200,100,3800,4200,138000,60000,60000,18000,1990
13,20100723,2198,33,1,1,0,0,0,0,1320,1112,100,1220,1320,862500,400000,350000,112500,1995
14,20100907,7148,29,1,1,0,0,0,0,3300,3300,100,3300,3950,259900,150000,76000,33900,2001
15,20100915,3165,26,1,1,0,0,0,0,1000,970,100,1000,1300,609500,320000,210000,79500,2051
16,20101012,7818,19,1,1,0,0,0,0,1400,1295,100,1300,1700,402500,270000,80000,52500,1987
17,20101201,6050,33,1,1,0,0,0,0,1300,3000,100,1200,1300,414000,250000,110000,54000,1998
18,20101201,3644,25,1,0,1,0,0,0,630,570,100,630,700,10000000,0,8695900,1304100,1972
19,20101210,4927,7,0,1,0,0,0,0,1800,1693,100,1600,1800,20200000,4000000,13600000,2600000,2006
20,20101215,4578,8,0,1,0,0,0,0,2100,2170,100,2000,2400,94500000,80000000,10000000,4500000,2008
21,20101216,6627,16,1,1,0,0,0,0,3000,2775,100,3000,3350,3680000,1600000,1600000,480000,2005
22,20101221,3645,25,1,0,1,0,0,0,840,1750,100,740,840,1380000,600000,600000,180000,1954
23,20110303,3646,25,1,0,0,0,1,0,2780,5530,100,2480,2780,235700,120000,85000,30700,2003
24,20110311,2229,4,0,0,1,0,0,0,2100,2100,100,2040,2100,5268300,2823000,1845300,600000,1949
25,20110311,3648,25,0,0,0,0,1,0,950,890,100,800,950,1090000,900000,50000,140000,1971
26,20110315,3274,32,1,0,0,0,0,0,2850,1800,100,2700,2850,920000,465000,335000,120000,1995
27,20110315,7150,28,0,1,0,0,0,0,560,685,100,540,560,920000,800000,0,120000,1915
28,20110318,6051,33,1,1,0,0,0,0,1800,1890,100,1600,1800,437000,190000,190000,57000,2007
29,20110323,3649,25,1,1,0,0,0,0,1000,1020,100,800,1000,759000,300000,459000,99000,1985
30,20110609,3168,26,0,1,0,0,0,0,1200,1170,100,1100,1200,2382800,972000,1100000,310800,1985
31,20110623,3275,32,1,0,1,0,0,0,600,580,100,540,600,805000,700000,0,105000,1998
32,20110623,3652,25,1,1,0,0,0,0,2400,3050,100,2100,2400,862600,300000,450100,112500,2002
33,20110624,2882,4,1,0,0,0,1,0,2860,2631,100,2560,2860,345000,200000,100000,45000,1977
34,20110629,6626,16,1,0,0,0,0,0,1250,1210,100,1050,1250,402500,300000,50000,52500,1958
34,20110629,6626,16,1,0,0,0,0,0,1250,1210,100,1050,1250,402500,300000,50000,52500,1958
35,20110629,1909,15,0,0,1,0,0,0,2040,2222,100,1640,2040,368000,75000,245000,48000,1955
36,20110720,4579,8,1,0,1,0,0,0,1600,1480,100,1550,1600,4600000,4000000,600000,600000,2008
36,20110720,4579,8,1,0,1,0,0,0,1600,1480,100,1550,1600,4600000,4000000,600000,600000,2008
37,20110721,3653,25,1,1,0,0,0,0,2250,4840,100,2050,2250,385400,240000,95400,50000,2004
38,20110812,3654,25,1,1,0,0,0,0,2700,2780,100,2600,2700,747500,350000,300000,97500,1998
39,20110916,6052,33,1,0,0,0,1,0,1500,1700,100,1400,1500,287500,220000,30000,37500,1999
40,20110922,3655,25,1,1,0,0,0,0,2200,6350,100,2100,2200,310500,190000,80000,40500,2008
41,20110927,3656,25,1,0,1,0,0,0,1700,3970,100,1540,1700,922500,229700,572500,120300,2000
42,20111020,4582,8,1,0,0,0,0,0,560,450,100,460,560,5865000,5100000,0,765000,2005
43,20111021,3276,32,1,0,0,0,0,0,1600,1600,100,1400,1600,224000,35000,160000,29000,2002
44,20111024,7777,18,1,0,0,1,0,0,2100,1200,100,1900,2100,2048400,700000,1148400,200000,2004
45,20111026,3657,25,1,0,1,0,0,0,2250,2730,100,2000,2250,1472000,640000,640000,192000,2009
